ID	adj.P.Val	logFC	GI	Gene.symbol	Gene.ID	GI.1	GenBank.Accession
ILMN_1772981	1.63e-07	9.30e-01	194248096	EPN1	29924	194248096	NM_013333
ILMN_2225887	2.65e-07	-1.87	50344742	ATP5EP2	432369	50344742	NR_002162
ILMN_1663132	3.22e-07	9.31e-01	41393591	ADCK2	90956	41393591	NM_052853
ILMN_2098743	3.31e-07	-1.76	231567103	ACOT13	55856	231567103	NM_018473
ILMN_2128128	3.36e-07	-1.60	5453639	SHFM1	7979	5453639	NM_006304
ILMN_1756674	6.61e-07	-1.68	347300231	ATP5E	514	347300231	NM_006886
ILMN_2166865	1.21e-06	-1.71	302148483	ENY2	56943	302148483	NM_020189
ILMN_1801600	1.80e-06	9.00e-01	16418350	CCDC97	90324	16418350	NM_052848
ILMN_2383097	2.05e-06	-1.69	313569766	RPL17	6139	313569766	NM_001035006
ILMN_1754195	2.06e-06	-1.93	153252117	RPL31	6160	153252117	NM_000993
ILMN_1756920	3.69e-06	8.32e-01	387849006	ADAM15	8751	387849006	NM_207195
ILMN_1687921	3.79e-06	6.77e-01	56090145	JMJD8	339123	56090145	NM_001005920
ILMN_1663416	4.01e-06	-1.49	NA			NA	
ILMN_1790782	4.21e-06	1.16	38146093	MED16	10025	38146093	NM_005481
ILMN_1812312	4.80e-06	-1.74	968121896	NDUFS4	4724	968121896	NM_002495
ILMN_2238928	5.49e-06	-8.70e-01	525313567	RAD51C	5889	525313567	NM_058216
ILMN_2218450	8.65e-06	-1.01	355528446	LSM1	27257	355528446	NM_014462
ILMN_1769277	9.18e-06	-1.31	NA			NA	
ILMN_1777378	9.57e-06	-1.78	565671774	COMMD6	170622	565671774	NM_203495
ILMN_1732060	9.61e-06	9.64e-01	399498567	ARHGAP1	392	399498567	NM_004308
ILMN_2103919	9.77e-06	1.02	13375645	LRFN3	79414	13375645	NM_024509
ILMN_1700231	1.01e-05	1.16	58530860	IP6K1	9807	58530860	NM_153273
ILMN_1680967	1.01e-05	-1.71	222831567	SARNP	84324	222831567	NM_033082
ILMN_2375992	1.02e-05	1.05	74027263	SPINT1	6692	74027263	NM_003710
ILMN_1658283	1.07e-05	-1.87	NA			NA	
ILMN_1697694	1.08e-05	9.50e-01	530788255	ATP6AP1	537	530788255	NM_001183
ILMN_1664028	1.08e-05	9.45e-01	51944960	CENPB	1059	51944960	NM_001810
ILMN_1707783	1.09e-05	-1.65	1042998840	TMA7	51372	1042998840	NM_015933
ILMN_1655694	1.15e-05	1.01	NA			NA	
ILMN_2220518	1.16e-05	-1.27	38788352	LAMTOR5	10542	38788352	NM_006402
ILMN_1694233	1.26e-05	-1.60	NA			NA	
ILMN_1748819	1.35e-05	-1.27	169646185	MRPL22	29093	169646185	NM_001014990
ILMN_1732328	1.49e-05	-1.51	NA			NA	
ILMN_2082314	1.52e-05	8.17e-01	209180445	TOM1	10043	209180445	NM_005488
ILMN_1789005	1.53e-05	1.18	310832380	ATP6V0C	527	310832380	NM_001694
ILMN_1733811	1.55e-05	8.21e-01	213972606	JUP	3728	213972606	NM_021991
ILMN_1735347	1.68e-05	-1.56	188035927	MCEE	84693	188035927	NM_032601
ILMN_1791332	2.13e-05	-1.39	41327758	ATP5O	539	41327758	NM_001697
ILMN_1718537	2.25e-05	1.11	322310373	HPS6	79803	322310373	NM_024747
ILMN_1657683	2.32e-05	8.38e-01	211063483	C1orf198	84886	211063483	NM_032800
ILMN_2308582	2.35e-05	7.75e-01	284448548	CYB5R3	1727	284448548	NM_007326
ILMN_1812478	2.41e-05	-1.27	527121915	ZNHIT3	9326	527121915	NM_004773
ILMN_1653205	2.50e-05	-2.55	NA			NA	
ILMN_1804851	2.66e-05	-1.35	16554613	MRPS17	51373	16554613	NM_015969
