Term,Library,p-value,q-value,z-score,combined score,overlaps
Ribosome,KEGG_2021_Human,1.123e-15,4.4930e-14,30.52,1051,RPL21;RPL31;RPL23;RPL34;RPS27L;MRPL13;MRPS18C;MRPL33;RPS15A;RPL36AL;RPL26;RPL17;RPL26L1;RPS24
translation (GO:0006412),GO_Biological_Process_2021,1.681e-12,5.4220e-10,19.93,540.4,RPL21;RPL31;RPL23;RPL34;TMA7;MRPL13;MRPS18C;MRPL42;RPS15A;RPL26;RPL17;RPL26L1;RPS24
cytoplasmic translation (GO:0002181),GO_Biological_Process_2021,2.442e-12,5.4220e-10,35.68,953.9,RPS15A;RPL21;RPL31;RPL23;RPL34;TMA7;RPL26;RPL17;RPL26L1;RPS24
Coronavirus disease,KEGG_2021_Human,4.686e-12,9.3730e-11,18.28,476.7,RPL21;RPL31;RPL23;RPL34;RPS27L;CXCL10;RPS15A;OAS2;RPL36AL;RPL26;RPL17;RPL26L1;RPS24
peptide biosynthetic process (GO:0043043),GO_Biological_Process_2021,2.947e-11,4.3620e-9,21.82,529.2,MRPL42;RPS15A;RPL21;RPL31;RPL23;RPL34;RPL26;RPL17;MRPL13;RPS24;MRPS18C
SRP-dependent cotranslational protein targeting to membrane (GO:0006614),GO_Biological_Process_2021,6.308e-11,7.0020e-9,32.42,761.5,RPS15A;RPL21;RPL31;RPL23;RPL34;RPL26;SRP14;RPL17;RPS24
cotranslational protein targeting to membrane (GO:0006613),GO_Biological_Process_2021,9.385e-11,8.3340e-9,30.89,713.2,RPS15A;RPL21;RPL31;RPL23;RPL34;RPL26;SRP14;RPL17;RPS24
protein targeting to ER (GO:0045047),GO_Biological_Process_2021,2.154e-10,1.5940e-8,27.92,621.4,RPS15A;RPL21;RPL31;RPL23;RPL34;RPL26;SRP14;RPL17;RPS24
aerobic electron transport chain (GO:0019646),GO_Biological_Process_2021,2.589e-10,1.6140e-8,37.14,819.9,COX7B;NDUFB6;UQCRB;NDUFA12;NDUFA4;UQCRQ;NDUFS4;NDUFB3
mitochondrial ATP synthesis coupled electron transport (GO:0042775),GO_Biological_Process_2021,2.909e-10,1.6140e-8,36.55,802.6,COX7B;NDUFB6;UQCRB;NDUFA12;NDUFA4;UQCRQ;NDUFS4;NDUFB3
mitochondrial respiratory chain complex assembly (GO:0033108),GO_Biological_Process_2021,1.999e-9,9.8360e-8,28.05,561.9,NDUFB6;NDUFA12;NDUFS4;NDUFB3;COX17;TMEM126A;NDUFAF2;TMEM126B
Oxidative phosphorylation,KEGG_2021_Human,2.13e-9,2.8400e-8,21.13,422.0,COX7B;NDUFB6;UQCRB;UQCRQ;NDUFA4;NDUFA12;NDUFS4;NDUFB3;COX17
mitochondrial respiratory chain complex I assembly (GO:0032981),GO_Biological_Process_2021,2.437e-9,9.8360e-8,38.96,772.8,NDUFB6;NDUFA12;NDUFS4;NDUFB3;TMEM126A;NDUFAF2;TMEM126B
NADH dehydrogenase complex assembly (GO:0010257),GO_Biological_Process_2021,2.437e-9,9.8360e-8,38.96,772.8,NDUFB6;NDUFA12;NDUFS4;NDUFB3;TMEM126A;NDUFAF2;TMEM126B
ribosome biogenesis (GO:0042254),GO_Biological_Process_2021,3.301e-9,1.2210e-7,16.19,316.2,RPL21;UTP11;RPL31;RPL23;RPL34;RPL26;RPF2;RPL17;RPL26L1;RPS24
gene expression (GO:0010467),GO_Biological_Process_2021,1.094e-8,3.7360e-7,10.51,192.6,MRPL42;RPS15A;RPL21;RPL31;RPL23;SARNP;RPL34;RPL26;RPL17;MRPL13;RPS24;MRPS18C
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",GO_Biological_Process_2021,1.23e-8,3.9000e-7,21.88,398.6,RPS15A;RPL21;RPL31;RPL23;RPL34;RPL26;RPL17;RPS24
Thermogenesis,KEGG_2021_Human,2.02e-8,2.0200e-7,13.25,234.7,COX7B;NDUFB6;UQCRB;UQCRQ;NDUFA4;NDUFA12;NDUFS4;NDUFB3;COX17;NDUFAF2
rRNA processing (GO:0006364),GO_Biological_Process_2021,2.143e-8,6.3440e-7,15.95,281.6,NSA2;RPL21;UTP11;RPL31;RPL23;RPL34;RPL26;RPL17;RPS24
cellular macromolecule biosynthetic process (GO:0034645),GO_Biological_Process_2021,3.189e-8,8.8490e-7,10.79,186.3,MRPL42;RPS15A;RPL21;RPL31;RPL23;RPL34;RPL26;RPL17;MRPL13;RPS24;MRPS18C
cellular protein metabolic process (GO:0044267),GO_Biological_Process_2021,6.234e-8,1.6280e-6,8.897,147.6,MRPL42;RPS15A;RPL21;RPL31;PRKCSH;RPL23;RPL34;RPL26;RPL17;MRPL13;RPS24;MRPS18C
Non-alcoholic fatty liver disease,KEGG_2021_Human,1.452e-7,1.1620e-6,15.60,245.6,COX7B;NDUFB6;UQCRB;UQCRQ;NDUFA4;NDUFA12;NDUFS4;NDUFB3
rRNA metabolic process (GO:0016072),GO_Biological_Process_2021,2.04e-7,5.0330e-6,14.88,229.3,RPL21;UTP11;RPL31;RPL23;RPL34;RPL26;RPL17;RPS24
nuclear-transcribed mRNA catabolic process (GO:0000956),GO_Biological_Process_2021,3.087e-7,7.2150e-6,14.06,210.7,RPS15A;RPL21;RPL31;RPL23;RPL34;RPL26;RPL17;RPS24
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",GO_Biological_Process_2021,3.853e-7,8.5540e-6,40.62,600.0,NDUFB6;NDUFA12;NDUFA4;NDUFB3;NDUFS4
Parkinson disease,KEGG_2021_Human,4.801e-7,3.2010e-6,10.85,157.9,COX7B;PSMA4;NDUFB6;UQCRB;UQCRQ;NDUFA4;NDUFA12;NDUFS4;NDUFB3
Prion disease,KEGG_2021_Human,0.000001034,5.6670e-6,9.856,135.8,COX7B;PSMA4;NDUFB6;UQCRB;UQCRQ;NDUFA4;NDUFA12;NDUFS4;NDUFB3
ncRNA processing (GO:0034470),GO_Biological_Process_2021,0.000001052,2.2240e-5,11.85,163.1,RPL21;UTP11;RPL31;RPL23;RPL34;RPL26;RPL17;RPS24
Diabetic cardiomyopathy,KEGG_2021_Human,0.000001133,5.6670e-6,11.73,160.6,COX7B;NDUFB6;UQCRB;UQCRQ;NDUFA4;NDUFA12;NDUFS4;NDUFB3
Optic disc pallor (HP:0000543),Human_Phenotype_Ontology,0.000002429,0.0001694,27.06,349.8,COX7B;NDUFS4;NDUFB3;TMEM126A;NDUFAF2
Huntington disease,KEGG_2021_Human,0.000002648,1.1770e-5,8.746,112.3,COX7B;PSMA4;NDUFB6;UQCRB;UQCRQ;NDUFA4;NDUFA12;NDUFS4;NDUFB3
ribosomal large subunit biogenesis (GO:0042273),GO_Biological_Process_2021,0.000002655,5.3580e-5,26.54,340.7,NSA2;BRIX1;RPL26;RPF2;RPL26L1
Respiratory failure (HP:0002878),Human_Phenotype_Ontology,0.000002897,0.0001694,26.04,332.0,NDUFA12;BOLA3;NDUFS4;NDUFB3;NDUFAF2
